               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083222,            0.058949,            0.017646,             0.72628,             0.41509,             0.31971,             0.13023,            0.069089,            0.026246,           0.0054798,            0.070127,           0.0033193,           0.0033193
                   1,            0.073731,            0.026159,           0.0067105,             0.76463,             0.40307,             0.33165,              0.1855,            0.072944,            0.017958,           0.0051259,            0.039995,           0.0065209,           0.0065209
                   2,            0.070903,            0.021544,           0.0059323,              0.7151,             0.43396,             0.34484,             0.13141,            0.071897,            0.014295,           0.0050401,           0.0097311,           0.0095905,           0.0095905
                   3,            0.064804,            0.018836,           0.0055848,             0.21689,             0.62264,             0.34918,             0.22254,            0.056337,            0.013051,           0.0045137,            0.009406,            0.009406,            0.009406
                   4,            0.056191,            0.016599,           0.0050717,             0.40332,             0.70755,             0.45768,             0.23433,            0.053993,            0.011305,           0.0043576,            0.009406,            0.009406,            0.009406
                   5,            0.050027,             0.01493,            0.004569,             0.49329,             0.75472,             0.66421,             0.37774,             0.04381,           0.0097939,           0.0041021,            0.009208,            0.009208,            0.009208
                   6,            0.045166,            0.013424,           0.0042347,             0.65907,             0.69811,             0.74116,              0.3786,             0.03869,           0.0094192,           0.0037898,             0.00901,             0.00901,             0.00901
                   7,            0.042168,            0.013124,           0.0036938,             0.60692,             0.78302,             0.78676,             0.47393,            0.038525,           0.0085854,           0.0039739,            0.008812,            0.008812,            0.008812
                   8,            0.040416,            0.012658,           0.0035321,             0.86499,             0.83019,             0.90694,             0.49092,            0.036354,           0.0078722,           0.0036874,            0.008614,            0.008614,            0.008614
                   9,            0.035836,            0.011345,           0.0031411,             0.89149,             0.87736,             0.93343,             0.60418,            0.029659,           0.0070467,           0.0032736,            0.008416,            0.008416,            0.008416
                  10,            0.036133,             0.01047,           0.0030546,             0.92229,             0.94094,             0.95905,             0.66293,             0.03075,            0.006578,            0.003157,            0.008218,            0.008218,            0.008218
                  11,            0.035468,           0.0099175,           0.0030081,             0.88577,             0.98113,             0.92584,             0.54522,            0.034391,            0.006519,           0.0030916,             0.00802,             0.00802,             0.00802
                  12,            0.032808,           0.0097939,           0.0027999,             0.95539,                   1,             0.98687,             0.70758,            0.027205,           0.0062837,           0.0030862,            0.007822,            0.007822,            0.007822
                  13,            0.032179,           0.0094354,           0.0027626,             0.92986,             0.96226,             0.98446,             0.69607,            0.027987,           0.0058721,           0.0029479,            0.007624,            0.007624,            0.007624
                  14,            0.029886,           0.0091326,           0.0026696,             0.97147,             0.97216,             0.99207,             0.74165,            0.024758,            0.005383,           0.0028611,            0.007426,            0.007426,            0.007426
                  15,            0.029737,           0.0087463,           0.0025844,             0.94596,             0.99496,             0.98558,             0.65432,            0.031827,            0.005445,           0.0027964,            0.007228,            0.007228,            0.007228
                  16,            0.030584,           0.0086945,           0.0025837,             0.97419,             0.99392,             0.98686,             0.72561,            0.025324,           0.0051944,           0.0027576,             0.00703,             0.00703,             0.00703
                  17,            0.027063,           0.0084946,           0.0022969,             0.98478,                   1,             0.99472,             0.74424,            0.024873,           0.0052196,           0.0026865,            0.006832,            0.006832,            0.006832
                  18,             0.02685,             0.00795,           0.0022742,             0.97916,             0.99519,             0.99472,             0.74623,            0.024335,           0.0051107,           0.0026273,            0.006634,            0.006634,            0.006634
                  19,            0.027457,           0.0083079,           0.0023754,             0.96785,             0.99989,              0.9936,             0.68091,             0.02835,           0.0051347,           0.0025099,            0.006436,            0.006436,            0.006436
                  20,             0.02556,           0.0079049,           0.0021904,             0.96957,             0.99057,             0.99379,             0.78863,            0.021182,           0.0050902,           0.0025706,            0.006238,            0.006238,            0.006238
